joke
แดดร้อนที่แยงตา ไม่เท่าเธอยิ้มมาแล้วแยงใจ
ถ้าใจมันเหนื่อยนัก ก็เเค่ลองปล่อยมันไป
ข้อดีของการไม่ครอบครองสิ่งใด คือเราจะไม่ทุกข์จากสิ่งนั้น
มองไปข้างหน้าอย่างมีความหวัง มองไปข้างหลังอย่างมีบทเรียน
ธรรมชาติสร้างให้ตาอยู่ข้างหน้า เพื่อสอนว่าอย่าหันหลังมองอตีต
เวลาไม่ได้ช่วยให้เราลืม แต่เวลา… ทำให้เราเรียนรู้ที่จะอยู่กับความทรงจำนั้นยังไง
อย่าเดินวนเหมือนนาฬิกา ให้เดินไปข้างหน้าเหมือนปฏิทิน
ความสำเร็จต้องจ่ายด้วยความพยายาม
คุณจะเดินไปสู่จุดหมายได้อย่างไร ถ้ามัวแต่ปาก้อนหินใส่หมาที่เห่าตลอดทาง
เมื่อไม่มีสิ่งที่ชอบ ก็ต้องชอบสิ่งที่มี
ผู้ไม่มีแผลเป็น คือผู้ไม่มีประสบการณ์
ความลำบากที่เกินทน จะหลอมคนให้ทนทาน
ชีวิตมีขึ้นแล้วก็มีลง เวลาขึ้นอย่าลง เวลาลงอย่าท้อ 
จุดที่หนาวที่สุดไม่ใช่บนดอย แต่เป็นจุดที่รอคอยแล้วไม่มาสักที
จีบได้ถ้าพี่ใจกล้า น้องไม่ว่าถ้าพี่ใจถึง
วาเลนไทน์ปีนี้ มีสะใภ้ดี ๆ ไปฝากแม่รึยัง?
เริ่มต้นสัปดาห์คือวันจันทร์ แต่ถ้ามาเริ่มต้นด้วยกันคือตลอดไป
ถึงเราจะไม่ได้ผอม แต่เวลาหอมแล้วหายเหนื่อย
ถ้าเราตอบแชทช้าไม่ต้องทักมาแล้วนะ โทรมาเลย
รับขนมจีบซาลาเปา หรือจะรับเราเป็นแฟนเธอดี
อยากพักผ่อนต้องไปทะเล แต่ถ้าไม่อยากโดนเท มาทางนี้เลยจ้า
ไม่อยากเป็นแล้วแฟนคลับ ขอสมัครเป็นแฟนครับได้รึเปล่า
รีพลายสตอรี่บ่อยแบบนี้ ถ้าแฟนไม่มีจะจีบแล้วนะคะ
มองหน้าแล้วทำเฉย ระวังเป็นลูกเขยแม่เรานะ
อากาศร้อนต้องเปิดแอร์ อยากมีคนเทคแคร์ต้องเปิดใจ
กรุงเทพฯ มีฝุ่น แล้วเมื่อไหร่ใจคุณจะมีเรา
โสดไม่จริงห้ามทัก เพราะเรารักคนง่าย
เบื่อชีวิตอิสระ อยากหาจังหวะมีเจ้าของ
อยู่คนเดียวมันเหงา ให้เราไปอยู่เป็นเพื่อนดีกว่า
ไอจีไม่คุมโทน แต่อยากได้คนมาคุมใจ
โลกก็เป็นแบบนี้แหละ นี่ก็เป็นเป็นคนดีคนหนึ่งที่ไม่มีใครเอา
ถ้าไม่ชิม จะรู้ได้ไงว่าอร่อย ถ้าไม่อ่อย จะรู้ได้ไงว่ามีใจ
ที่ถ่ายรูปชอบทำหน้านิ่ง เพราะอยากเก็บรอยยิ้มไว้ให้คนที่ใช่
ไม่แพ้หรอกฝุ่น แพ้คุณ​มากกว่า
เราก็เหมือนยาดม ไม่เน้นให้ใครชื่นชม แต่เน้นให้คนชื่นใจ
แดดแรงทำให้หน้าพัง แต่เธอน่ารักจังทำให้หน้าแดง
แม่หนูชอบเขา ไม่เอาแล้วทะเล
จีบเราไม่ต้องเปย์ขอแค่ทุ่มเทและใส่ใจ 
เป็นเด็กอ้วนมันไม่ดี เป็นเด็กดีของพี่ได้เปล่า 
อยากเจอรักดีดี นาทีนี้ก็ต้องเราแล้วป่ะ 
ของอร่อยมีแต่ทำให้เราอ้วน แล้วเราอ้วนคิดดูว่าจะอร่อยแค่ไหน 
รีบจีบตอนนี้ ถ้าสวยกว่านี้จีบยากละนะ
เป็นคนยิ้มยาก แต่ถ้าชอบใครมากๆ จะยิ้มให้
เราเป็นคนหน้านิ่ง ไม่อยากยิ้มเดี๋ยวเธอละลาย
ไม่อยากเป็น นัมเบอร์วัน อยากเป็นแค่ โอลี่วัน ของเธอก็พอ
ไม่ใช่ผู้หญิงสวย ที่อยู่ใกล้แล้วสบายตา แต่เป็นผู้หญิงที่ฮา อยู่ใกล้แล้วสบายใจ
ช่วงนี้อ่อนไหว มองหน้าใครก็ใช่ไปหมดเลย
รอเธอมาจีบ อยากถูกถีบตกคาน
มุขเสี่ยวเราไม่มี แต่ใจดีๆ อะมีแน่นอน 
ข้างกายมันเหงา มาอยู่ข้างเราดีกว่ามั้ย
โสดโอนไว มีความจริงใจแถมให้ด้วย
ไม่สวยไม่ขาว แต่หน้าหนาวกอดอุ่นนะ
อยู่คนเดียวมันอิสระ แต่ลองคบเรามั้ยจ๊ะแล้วจะสนุก
ภาพถ่ายอาจจะหน้าชัดหลังเบลอ แต่ภาพของเธอในใจเรามันชัดเจน
จะมองอะไรนักหนา เธอมีปัญหาหรือว่ามีใจ
หาวเอาไว้ใช้กับง่วง หวงเอาไว้ใช้กับเธอ
ถึงเราจะไม่ได้ผอม แต่เวลาหอมแล้วหายเหนื่อย
ถ้ายังรู้จักเราไม่ดีพอ ศึกษาต่อในแชทได้นะคะ
ยอมรับว่าเป็นคนคิดมาก แต่ก็ไม่มากเท่าคิดถึงคุณ
อยากโทรถามเคอรี่ ความรักที่ส่งให้เธอนี่ กี่วันถึง 
เลิกเหอะเช็คอินร้านเหล้า เปลี่ยนมาเช็คอินบ้านเราดีกว่า
ถึงขาเราไม่เรียว แต่เรามีรักเดียวนะเธอ
"เหงาก็ต้องทน เพราะเป็นคน ""ไม่มีแฟน"" "
ที่ส่งเพลงโพลี่แคทให้ ก็เพราะว่าเรา “ชอบพี่นะ”
ขอกอดได้ไหม ในฐานะเพื่อนก็ได้
ถามเค้าว่าชอบเราแค่ไหน เค้าตอบว่า “แค่พี่น้อง”
“พี่น้อง” มันเป็นแค่คำเรียกเพื่อแสดงลำดับอาวุโส ไม่ใช่สถานะ
สนิทแค่ไหน ก็เป็นได้แค่ “เพื่อน” เธอ
อยู่กับเธอทุกเวลา แต่เธอบอกว่า เราเป็นเพื่อนที่ดีที่สุด
คุยกันทุกวัน ถามเธอว่าเป็นอะไรกัน เธอบอก “แค่พี่น้อง”
เพื่อนเต็มแล้ว กรุณาแอดมาในสถานะอื่น
แม่บอกไม่อยากมีลูกเพิ่ม จะมาเป็นแค่พี่น้องก็พอก่อนนะจ๊ะ
บอกเราเป็นพี่น้อง ถามแม่รึยังว่าพร้อมแบ่งสมบัติให้เรามั้ย
คอลเกตเป็นยาสีฟัน คอลทุกวันเป็นแค่เพื่อนเธอ
เจ็บมากที่รักเธอ เจ็บจนเอ๋อเมื่อรู้ว่าเธอไปรักใคร
พีเอม2.5 เป็นแค่ฝุ่น เรากับคุณเป็นแค่พี่น้อง
ไม่เคยให้เธอไปรับไปส่ง เพราะ​ที่ผ่านมาเรา “คิดไปเอง”
ไม่รู้ว่าตอนนี้อยู่ในสถานะอะไร ของแข็ง ของเหลว หรือของตาย
แค่พี่น้องนะ หนูไหวเหรอ?
ขอโทษที่เข้าไปเป็นเพื่อนความสัมพันธ์ที่ไม่มีชื่อเรียกในชีวิตเธอ
ไม้เอก ไม้โท ไม้ได้อยากเป็นเพื่อนเธอ
โรตียังใส่ไข่ แต่ผมใส่ใจทำไมเป็นได้แค่เพื่อน
ไม่รู้เห็นเราเป็นคนหรือฮานามิ เธอถึงอยากให้เรารวยเพื่อน
เดี๋ยวนี้ใครเค้าลงรูปคู่ เค้าลงรูปชาบูกันแล้วจ้ะ
กินน้ำอัดลมมันกัดกระเพาะ กินเราดีกว่าเนาะกัดเซาะแต่หัวใจ
ถ้าเธอชอบของหวาน เราเสี่ยงเป็นเบาหวานเธอชอบมั้ย
เนื้อคู่ที่ถูกใจ ยังไม่สู้เนื้อสันในที่ติดมัน
ถ้าพี่ไม่ชอบกินสเต็กหมู พี่ลองกินหนูได้นะคะ
ถ้าเธอชอบหมูสามชั้น คางเราสามชั้น เธอชอบมั้ย
ขนาดหมูติดมันยังอร่อย แล้วผู้หญิงมีไขมันหน่อยๆ จะไม่อร่อยได้ยังไง
กินข้าวอะอิ่มท้อง แต่พอมองหน้าน้อง โอ๊ย อิ่มใจ
เราอาจจะไม่ใช่เค้กที่นุ่มฟู แต่เราจะเป็นเนื้อคู่ที่นุ่มนวล
ที่โพสต์รูปของกินบ่อยๆ เพราะอยากอ่อยว่าทำกับข้าวเป็น
อัพรูปทั้งที หาแคปชั่นยากพอๆ กับหาแฟนเลย
มาชิตะ แปลว่าอร่อย มาหาหน่อย แปลว่าอ่อยนะจ๊ะ
รู้ว่าไม่น่ารัก แต่ก็รักหน่อยไม่ได้เหรอ
รับบริจาคความห่วงใย เพื่อมอบให้ผู้ประสบภัยเหงา
เป็นคนตรงๆ ตรงนี้ยังว่าง ข้างๆ ยังไม่มีใคร
เบื่อแล้วความร้อน เมื่อไหร่จะเจอความรักบ้างอะ
ต้องให้เปิดไฟเหมือนแท๊กซี่มั้ย ถึงจะรู้ว่าว่าง
ปล่อยให้เราเหงาบ่อยๆ เดี๋ยวมีคนแซ่บๆ มาอ่อยเราไปนะ
ไม่มีหรอกคนข้างๆ เดี๋ยวนี้เขาห่างกันเป็นเมตร
เลิกเป็นคนเหงา เเล้วมาเป็นของหนูดีกว่า 
เหงาจริงไม่ได้อ่อย เค้กที่ว่าอร่อยยังไม่เท่าเรา
ชอบกินชาเย็นอยู่ดี ๆ เผลออีกทีไปชอบคนเย็นชาอย่างเธอ
ในมืออะรสดี ส่วนคนถือเนี่ยรสเด็ด
เบื่อแล้วข้าวไข่ข้น ขอข้าว(เข้า)ไปอยู่ในใจได้เปล่า
ยิ้มให้ไม่ได้อ่อย ก็แค่อยากให้ทักมาหน่อยแค่นั้นเอง
อยากให้บ้านเธออยู่แค่หน้าปากซอย เราจะไป “จุ๊กกรู๊!” ใส่ทุกเช้า-เย็น
บะหมี่ยังมีเกี๊ยว แต่เราโสดเลี้ยว ยังไม่มีใคร
กินกาแฟมันขม กินผมสิฟิน!
น้องไม่จำเป็นต้องภักดี แต่พักห้องพี่ก็ได้นะ
ถ้าอยากกินเส้นให้กินก๋วยเตี๋ยว ถ้าไม่อยากมีรักข้างเดียวให้กินผม
โสดบ่อย ก็เลยเพ้อ เผื่อคนที่เลื่อนเจอจะสนใจ
ตัวจริงไม่สวยหรอก แต่ตัวจริงโสด
ของอร่อยมีแต่ทำให้เราอ้วน แล้วเราอ้วนคิดดูว่าจะอร่อยแค่ไหน
ในป่ายังมีคาเฟ่ แต่ถ้าว้าเหว่ให้มาหาเรานะ
ของอร่อยไม่ต้องอ่อยก็น่ากิน
ที่เห็นโพสต์ว่าทำอาหารบ่อย ๆ เพราะอยากอ่อยว่าทำกับข้าวเป็น
เราอาจจะไม่ได้เด็ด แต่บอกเลยว่าเผ็ดแสบคอ
หม่าล่าคงไม่อร่อยเท่ามาหาเราหรอก
กินแกงระวังเผ็ด กินเราสิไม่เผ็ด แถมอร่อย
ถ้าอยากกินเส้นให้กินก๋วยเตี๋ยว ถ้าไม่อยากมีรักข้างเดียวให้กินเรา 
คาเฟ่เปิดใหม่อะมีเยอะ ไปกับเราเถอะจะมีรัก
บะหมี่เส้นชุ่ม ๆ จะสู้แก้มนุ่ม ๆ แบบเราได้ไง
ถึงจะไม่ใช่ไข่เจียวที่นุ่มฟู แต่จะเป็นเนื้อคู่ที่นุ่มนวล
เธอจะไม่เหงา ถ้ามีเราเป็นหวานใจ
ไม่มีอะไรเป็นของเราไปได้ตลอด ขนาดใจยังเป็นของเธอเลย
เราไม่ได้ติดกาแฟหรอก ติดแกนั่นแหละ
หนูชอบชาบู แล้วพี่ชอบหนูไหมคะ?
เด็กดีกินผัก ส่วนเด็กน่ารักยังไม่มีใครกิน
ข้างหน้าเป็นหม้อชาบู แต่ข้าง ๆ ยู เป็น ไอ ได้เปล่า
ทำเบคอนต้องใช้หมู แต่ ไอเลิฟยู ต้องใช้หัวใจ
สั่งก๋วยเตี๋ยวกลับบ้านต้องใส่ถุง แต่อยากได้แฟนมีพุงต้องเลือกเรา
มัวแต่กดหัวใจแล้วเมื่อไหร่จะได้เป็นแฟนอะ
หลงทางไม่ว่าแต่หลงเราขึ้นมาแย่เลยนะ
อย่ามองแต่เขา มองเราบ้างก็ได้นะ
เห็นคนหล่อไม่กล้ารุก แต่ถ้าเห็นชานมไข่มุก เราสู้ตาย
ถ้าคืนนี้ไม่อยากอ้างว้าง ก็มากินปิ้งย่างกับเราสิ
แคบหมูต้องทอดในกระทะ แต่ถ้าแอบชอบนะ ต้องรู้จักทอดสะพาน
เบื่อแล้วกินกับข้าว อยากกินกับเธอมากกว่า
ถ้าเธอชอบกินปิ้งย่าง บอกเลยคืนนี้ว่าง เดี๋ยวพาไป
ในห้องครัวมีควัน ในใจฉันมีเธอ 
อร่อยกว่าเราอาจจะมี แต่เด็ดกว่านี้ไม่มีแล้วนะ
เปรี้ยวปากจึงกินยำ อยากให้เธอจำต้องทำไง
เป็นของตายให้ใครไม่ได้หรอก เป็นได้แค่ของแซ่บ
อยากกินชาบูก็ต้องจุ่ม แล้วถ้าอยากกินหนุ่ม ๆ ต้องทำไง
ถ้าคืนนี้ไม่อยากอ้างว้าง มากินปิ้งย่างกับเราสิ
พริกที่ว่าเผ็ด ยังไม่เด็ดเท่าเรา
เด็ดไม่เด็ดไม่รู้ แต่ที่มีอยู่บอกเลยว่าเผ็ด!
ชอบแบบไหนก็เลือกเอา ชอบแบบเราก็มาสิคะ
เป็นของเล่นให้ใครไม่ได้หรอก แต่ถ้าให้เป็นของกินก็พอได้อยู่
นี่ไม่ใช่ของเล่นนะ นี่ของอร่อย
คาใจมานานละ สรุปเด็กดื้อนี่ต้องโดนอะไรนะ
เราอาจจะไม่ได้เด็ด แต่รับรองว่าเผ็ดแสบคอ
หม่าล่า ไม่อร่อยเท่ามาหาเราหรอก
กินแกงระวังเผ็ด กินเราสิเด็ดไม่เผ็ด แต่อร่อย
แซ่บ ๆ แบบหนู ลาบหมูก็ต้องยอม
แซ่บกว่ากะเพราก็เรานี่แหละ
เรามันของอร่อย ไม่ต้องอ่อยก็น่ากิน
กินข้าวต้องมีกับ กินตับต้องมีเธอ
ในมือมีรสดี ส่วนคนถือเนี่ยรสเด็ด
ข้าวมันไก่ที่ว่าอร่อย แต่ถ้ามาชิมเราหน่อย รับรองอร่อยไม่แพ้ข้าวมันไก่ 
มาจงมาจ๊าบอะไร มาจุ๊บนี่มา
เปิดประตูอาจไม่เจอใคร แต่ถ้าเปิดใจจะเจอเรา
รู้รึเปล่าว่าหัวใจมี 3 สถานะ (ของแข็ง ของเหลว และของเธอไง)
หัวใจคุณมีค่าแค่ไหนอะ แต่หัวใจเรามีค่าแค่คุณนะ
หน้าตาซื่อ ๆ พี่บอกหนูดื้อได้ไง
ไม่ต้องรีบรักให้เต็มร้อย แต่ขอรักทีละน้อยๆ ให้เต็มใจ
โจ๊กพิเศษต้องใส่ใข่ แต่รักเป็นพิเศษแถมความห่วงใย ต้องเป็นเรา
ช่วงนี้รู้สึกอยากพัก พักคำว่ารูด พูดคำว่ารัก
ถ้าพี่ชอบกินปิ้งย่าง บอกเลยคืนนี้ว่าง เดี๋ยวพาไป
ชอบกินชาเย็นอยู่ดี ๆ เผลออีกทีไปชอบคนเย็นชาอย่างเธอ
ดูบอลผมก็ลุ้น ดูหน้าคุณผมก็อยากรัก
อยากลองเสียอาการบ้าง ทุกวันนี้เสียแต่สติ
ทำไมกลิ่นฝนต้องมาพร้อมกับความคิดถึง
ขอให้แกตกหลุมรักเราจนโงหัวไม่ขึ้น
ถึงหน้าตาจะดูธรรมดา แต่เวลากินขึ้นมาก็น่ารักอยู่นะ
กินข้าวแล้วอิ่มท้อง แต่พอมองหน้าน้องแล้วอิ่มใจ
เบื่อแล้วข้าวไข่ข้น ขอข้าวไปอยู่ในใจได้เปล่า
โจ๊กพิเศษใส่ไข่ แต่เราพิเศษใส่ใจ
ก็ชอบนะปิ้งย่าง แต่เราชอบคนนั่งข้าง ๆ มากกว่า
ในจานมีข้าว ในใจเรามีแต่คุณ 
อย่าจมอยู่กับอดีตเลย มาจมอยู่กับความน่ารักของเราดีกว่า
ที่ผมใส่เสื้อตัวเล็ก เพราะอยากให้คุณรู้ว่า ‘ชอบคับ’
แสงยูวี ไม่ดีต่อตา แต่ถ้า ยู มองมา มันดีต่อใจ
ไม่ต้องรีบ ฟอลไอจี แต่ ฟอลอินเลิฟวิดมี ก่อนได้ไหม
ตรุษจีนไหว้หัวหมู แต่อย่าลืมพาหนูไปหาแม่พี่นะ
ถ้าใจยังไม่มีใครจอง อยากให้ลองมารักน้องดู
น้องไม่ใช่นาฬิกา แต่มีเวลาให้พี่นะ
ไม่ใช่คนตัวเล็ก แต่สเปกพี่ปะล่ะ
รักน้อง ต้องไม่เจ้าชู้
จีพีเอส ไม่ช่วยให้หลงทาง เพราะฉันนะหลงเธอ
ก็มีเธอ ถึงได้มีความสุขแบบนี้
กล้องไม่โฟกัส แต่ที่ชัดๆ ก็รักเธอ
กอดหมอนข้างเบื่อแล้ว กอดเธอแทนได้หรือเปล่า
ก่อนเข้าเดือนหน้า ก็อยากเข้าตาเธอก่อน
กินนมทำให้โตไว แต่เรากินเราเข้าไป หัวใจพองโต
กินบะหมี่ให้เลือกเส้น แต่ถ้าอยากมีแฟนขี้เล่นให้เลือกเรา
ขนาดไก่ยังมีเล้า แล้วเธอล่ะไม่มีเราบ้างเหรอ
ข้าวมันไก่ หรือจะสู้ เข้ามาใกล้ๆ หน่อย
ขี้เกียจแอดไปแล้ว ขอเป็นแฟนเลยได้ปะ
คนข้างๆ ไม่มี คนดีๆ ไม่มา
คิดถึงเธอวันละครั้ง ครั้งละ 24 ชั่วโมง
คุยถูกคอมีทั่วไป แต่ถ้าคุยถูกใจมีเธอคนเดียว
คุยทุกวันแบบนี้ เราเป็นอะไรกันบ้างหรือยัง
เคยเห็นตอนเรามีแฟนหรือยัง ถ้ายังมาเป็นแฟนเราสิ
แค่บ่นว่าอยากเธอ ข้ามกี่สิบอำเภอก็จะไป
แคปหมูอะอร่อย แต่ที่แคปบ่อยๆ อะรูปเธอ
โคโรนาเป็นไวรัส แต่โคตรน่ารักอะเป็นเธอ
งานบวชต้องแห่นาค แต่ถ้าชอบมาก แห่ขันหมากมาขอ
จ้องคอมแล้วตาเบลอ แต่ถ้าจ้องเธอแล้วได้เบอร์ปะ
จ้องเรานานขนาดนี้ ตกหลุมเราเราสักทีได้ไหม
จะเป็นทำไมคนเหงา มาเป็นคนของเราดีกว่า
ช่วงนี้ดูแลตัวเองด้วยนะ ไม่อยากให้เป็นอะไรเลย นอกจากเป็นแฟนกันไหม
ชวนกินข้าวจะได้ไหม
ชีวิตมันสั้น รีบมาเป็นชายในฝันเราเถอะ
แดดร้อนแยงตา แต่ไม่เท่าเธอมองมาแล้วแยงใจ
ได้ข่าวว่าเป็นเด็กช่าง มาซ่อมใจพังๆ เราหน่อยได้ไหม
ตรวจเลือดไม่เจออะไร แต่ตรวจหัวใจทำไมเจอเธอ
ต้องให้ถึงขั้นขโมยเงินเธอใช่ไหม ถึงจะได้รู้ว่า “ลัก” จริง
ถ้าเขาปิดใจ อยากให้รู้ว่าห้องเราเปิดอยู่ตลอด
ถ้าความคิดถึงมันมีขา ก็คงเดินไปหาเธอทุกวัน
ถ้าชอบอะไรที่น่ารักๆ ก็ต้องชอบเราแล้วล่ะ
ถ้าเป็นโสดแล้วเหงา งั้นมาเป็นของเรากันเถอะ
ถ้ามีแฟนแล้วไม่ต้องมาทักนะ
ถ้ายังไม่มีแฟน มาเดินควงแขนกันดีปะ
ที่นี่ที่ไหน ใช่ “ที่รัก” หรือเปล่าครับ
ที่บอกเราไม่เด็ด เธอกินเผ็ดไม่เป็นหรือเปล่า
ที่บ้านเธอมีแก้วกี่ใบ เราจะได้เทใจให้หมดเลย
ที่บ้านไม่มีเก้าอี้หรือยังไง ถึงมานั่งในใจเราตลอด
ที่ใส่เสื้อรัดๆ อยากให้รู้ว่า “ชอบคับ” ยังไงล่ะ
ที่ห้องไม่มีแมว แต่อ้อนเก่งนะ
ที่อยากกินอะ “หวานเย็น” แต่ที่อยากเป็นอะ “หวานใจ”
ทุกคนรู้ โลกรู้ ว่าฉันรักเธอ
เธอก็เหมือนอากาศ ขาดเธอไม่ได้
เธอคนเดียวที่กินใจ แม้ว่าใครๆ จะกินคลีน
เธอไม่ใช่กรุงเทพ เธอไม่ใช่น่าน แต่เธอน่ะ ใช่เลย
นอกจากชอบถ่ายรูปมุมเผลอ ก็ไม่รู้เหมือนกันว่าไปชอบเธอตอนไหน
นิยามความรักจะไม่มีความหมาย ถ้าไม่มีเธอ
นี่ถ้าไม่ติดว่าโสดนะ จะจีบเธอไปแล้ว
ในยามที่เหงาก็มีเธอเสมอ
บันไดมีหลายขั้น แต่เราไม่ได้มีหลายใจนะ
อยู่ใกล้แมวระวังแพ้ขน อยู่ใกล้ผมระวังแพ้ใจนะครับ
มองหน้าเฉยๆ ระวังเป็นเขยแม่เรานะ
มองหน้าบ่อยๆ เดี๋ยวก็อ่อยใส่เลย
มาหาหน่อย หิวข้าว
มาหาหน่อยสิวันนี้ รู้สึกเป็นไข้ “ไข้เธอไม่ดาด” “ขาดเธอไม่ได้”
มุกเสี่ยวคิดไม่ทัน คิดถึงเธอก่อนแล้วกันมันง่ายดี
เมื่อคืนฝันว่าเราแต่งงานกัน
แม่เธอรู้ไหม ว่าฉันชอบเธอ
ไม่ชอบตัวเองเลย เป็นเป็นชอบเธอแทนได้ไหม
ไม่ชอบหรอกบวก ลบ แต่ชอบ “คูณณณ” มากกว่า
ไม่ได้เป็นคนเจ้าชู้ อยากให้ลองมาคบดู จะได้รู้ว่าเป็นคนน่ารัก
ไม่ได้ลายมือสวย แต่จดทะเบียนสมรสได้นะ
ไม่ได้อยากกินหญ้าอ่อน แต่ดันเกิดก่อนอะทำไง
ไม่ได้อยากเป็นคนแรก แต่อยากเป็นคนรัก
ไม่ต้องเป็นทุกอย่างก็ได้ เป็นแค่รอยยิ้มให้กันก็พอ
ไม่อยากได้คนไลค์ แต่อยากได้คนรัก
ยินดีเสมอ ถ้าเธอเปิดใจ
ยืมโทรศัพท์หน่อยได้ไหม สงสัยจะเสีย มันไม่มีเบอร์เธอ
รักหมดใจ แต่ทำไมมีใจให้นิดเดียว
รับรักหน่อย จีบมาหลายวันแล้วนะ
เราเป็นคนดีนะ
เราแอบชอบเธอตั้งแต่ครั้งแรกที่เจอกันแล้วแหละ
ลูกก็ยังไม่มี จะมีแฟนได้ไง
เลิกน่ารักได้แล้ว ขี้เกียจยิ้มตาม
วันนี้ว่างนะ
ว่ายน้ำต้องไปที่สระ ไหว้แม่เธอล่ะต้องไปที่ไหน
ช่วงนี้จน ๆ จนป่านนี้ยังไม่มีใคร
สรุปจะให้เป็นแฟนเลยไหมอะ
หน้ากากอะต้านไวรัส แต่เราอะต้านเธอไม่ไหว
หาคนจริงใจ ยากกว่าหาของกินอีก
เห็นงานเดินหนี เห็นเธอคนดี วิ่งใส่
เห็นป่า เห็นเขา เห็นใจเราบ้างหรือยัง
อยากเป็นน้องหมา ให้เธอขอมือ
อย่าลืมใส่หน้ากากนะ เป็นห่วง
อะไรจะแพงก็แพงไปเถอะ ขอให้เธอถูกใจเราก็พอ
อาหารมีไว้ทาน แต่เธอมีไว้รัก
ไม่กล้าเข้าไปเติมเต็มให้ใคร เพราะตัวเองก็ไม่เต็มเหมือนกัน
ขอคนคุมแบบโหดๆ เอาแบบที่หนูไม่กล้าโพสต์ว่าโสดอีกต่อไป
ใต้คางยังมีเหนียง แต่ข้างเคียงไม่มีใคร
ยังรักอยู่เหมือนเดิม แต่ไม่ได้แสดงออก เพราะไม่มีโอกาสได้บอกอีกแล้ว
ผ่านมาจนสิ้นปี แต่ยังไม่เจอคนดีๆ ที่น่าสนใจ
ความรักไม่ใช่ใครก็ได้
ถ้าจะจีบก็บอก จะได้น่ารักกับเธอคนเดียว
บางทีผมก็สั้น บางทีผมก็โสด
ที่บอกว่าเหงา อ่อยเรา หรือ เขาไม่อยู่
อยากคุยก็โทรมาได้ ไม่ติดสายใครแน่นอน
ห้องใครมีแมวบ้างครับ
เศรษฐกิจไม่ดี มาหารค่าห้องกับพี่ไหมครับ
ถ้าเธอเป็นเสือ เราเล่นบทเหยื่อเก่งนะ
หน้าตาดูไม่เด่น แต่เราเผ็ดแสบคอ
ไม่ได้ผอม แต่แก้มหอมอยู่นะ
ความรักไม่ใช่ใครก็ได้
อย่าว่าแต่กล้วยหอมเลย แก้มเราก็หอมนะ
"แฟนก็เหมือนเงินอะ ที่ตอนนี้ ""ไม่มี"""
ปีนี้ตั้งใจจะเป็นคนดี แต่พอหมดปีแล้วเป็นได้แต่คนสวย
โสดแล้วยิ้ม ดีกว่าถูกทิ้งแล้วร้องไห้
เล่นตัวไปเถอะ เดี๋ยวเราเล่นของใส่
อย่ามองหน้าตรงๆ ถ้าไม่คิดจะจริงใจ
ภาพลักษณ์อาจจดูเหมือนหยิ่ง แต่ตัวจริงเราน่ารัก
มะพร้าวยิ่งแก่ยิ่งมัน พี่ก็เหมือนกัน ยิ่งแก่ ยิ่งแซ่บ
รับสอนว่ายน้ำค่ะ เผื่อมีคนจมอยู่กับอดีต
ตื่นมาก็เหงา เป็นเพราะวันเสาร์หรือเพราะเขาไม่รัก
ผับไม่เข้า เหล้าไม่กิน เช็กอินแต่วัด
เศรษฐกิจซบเซา หันมาซบเราได้นะ
ที่ว่างเยอะแยะ อยู่ที่เธอแล้วแหละ จะแวะมาหรือเปล่า
ถ้าคิดอะไรไม่ออก คิดถึงเราก็ได้นะ
อยากเกิดเป็นขิง จะได้ถูกเธอจับซอย
จ้องอะไรหนักหนา มีปัญหาหรือมีใจ
ถ้าอยากจุก ให้รอวันศุกร์นะจ๊ะ
ไม่อยากเป็นแล้วพระจันทร์ อยากเป็นคนสำคัญในตอนกลางคืน
ไม่อยากเมื่อยมือ แต่อยากเมื่อยเอว
ยิ้มจนตาหยี เพราะอยากเป็นเบบี๋ของเธอ
แบบไหนที่ว่าดี แบบว่าหนูไปหาพี่ หรือพี่มาหาหนู
ไม่รู้ว่ากินอะไรแล้วจะผอม แต่ถ้าอยากหอม เราพร้อมนะ
จะให้ผอมได้ยังไง ก็เธอมันน่ากิน
แพ้เป็นพระ ชอบนะคะ มาเป็นแฟนกันไหม
ไม่ใช่ถนนแต่ก็ทำเธอหลงได้
หยอกไปงั้นแหละ แต่ถ้าได้จริงๆ ก็ดี
หุ่นแบบหนู พี่เอ็นดูไหมคะ
ในรูปไม่เหมือนตัวจริงหรอ ในรูปจุ๊บไม่ได้ ตัวจริงจุ๊บได้
ถ้าชอบก็มาจีบ แต่ถ้ารีบก็ให้แม่มาขอ
ไม่มีหรอกแคปชั่นอ่อย รู้จักกันอีกหน่อย เดี๋ยวก็หลงรักเอง
ห้องเธอมีชิงช้าไหม ขอเราไปโยกได้ป่าว
ไม่ใช่สายอ่อย เพราะของอร่อยไม่จำเป็นต้องพูด
ถ้าหิวบอกนะ เดี๋ยวเราทอดสะพานให้
ห้องรกป่ะ เดี๋ยวจัดให้
เราก็เหมือนยาดม ไม่เน้นชื่นชม แต่ดมแล้วชื่นใจ
ธันวาอ่ะเคาต์ดาวน์ แล้วทันหรือเปล่าที่จะเป็นแฟนเธอ
ชอบเอาคืน ไม่ชอบให้อภัย
ต่อให้เสื้อผ้าแพงขนาดไหน สุดท้ายก็ต้องถอดอยู่ดี
มาคุยเป็นเพื่อนหน่อย คุยบ่อยๆ จะได้เป็นแฟนกัน
มาจง มาจุ๊บอะไร มาจีบนี่มา
